Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,116.37,117.24,115.36,116.54,434100,116.54
2014-03-03,113.50,118.80,112.38,116.78,876800,116.78
2014-02-24,119.50,120.94,114.73,114.91,912800,114.91
2014-02-18,120.88,121.89,118.81,119.66,776000,119.66
2014-02-10,115.71,125.00,113.91,120.82,1889000,120.82
2014-02-03,111.73,118.36,106.91,115.91,1329300,115.91
2014-01-27,113.41,116.57,110.76,111.83,1151600,111.83
2014-01-21,116.36,116.97,112.20,113.28,798400,113.28
2014-01-13,118.83,120.49,113.89,115.09,1114600,115.09
2014-01-06,121.42,121.99,116.67,118.01,1347600,118.01
2013-12-30,120.46,122.38,116.63,121.22,736700,121.22
2013-12-23,120.47,122.27,119.34,120.12,846200,120.12
2013-12-16,122.16,123.90,117.50,118.85,1522500,118.85
2013-12-09,124.09,124.38,118.19,121.61,658500,121.61
2013-12-02,126.50,127.25,120.88,123.38,727700,123.38
2013-11-25,126.77,127.89,124.66,127.27,425700,127.27
2013-11-18,128.85,129.63,125.11,126.26,548600,126.26
2013-11-11,127.35,129.79,125.43,129.56,691100,129.56
2013-11-04,128.77,134.99,124.69,127.91,1282400,127.91
2013-10-28,126.37,128.91,124.72,128.66,659900,128.66
2013-10-21,122.29,128.28,120.34,126.25,685000,126.25
2013-10-14,118.17,121.78,116.23,121.75,511900,121.75
2013-10-07,118.45,120.40,113.14,118.89,613500,118.89
2013-09-30,115.49,120.28,114.77,119.89,570000,119.89
2013-09-23,118.08,118.82,115.31,116.46,509800,116.46
2013-09-16,117.25,119.37,113.16,118.59,814700,118.59
2013-09-09,112.02,117.00,111.55,116.21,729700,116.21
2013-09-03,117.56,117.99,112.04,112.25,802400,112.25
2013-08-26,117.42,118.03,112.98,116.14,541500,116.14
2013-08-19,117.48,118.95,114.65,117.15,574800,117.15
2013-08-12,119.44,123.06,116.72,117.16,656600,117.16
2013-08-05,110.70,129.25,107.11,120.60,2131600,120.60
2013-07-29,111.91,115.00,109.75,114.32,685200,114.32
2013-07-22,113.38,114.14,110.91,112.54,502000,112.54
2013-07-15,109.52,112.23,106.14,111.79,581500,111.79
2013-07-08,107.05,111.94,106.24,109.51,660200,109.51
2013-07-01,103.52,107.53,103.17,106.82,591300,106.82
2013-06-24,98.87,104.37,97.02,103.31,607900,103.31
2013-06-17,105.38,108.49,99.09,100.12,898400,100.12
2013-06-10,106.03,106.03,100.60,104.42,671700,104.42
2013-06-03,105.93,107.99,101.54,105.81,803000,105.81
2013-05-28,105.86,108.21,104.60,106.20,580300,106.20
2013-05-20,108.45,108.98,102.22,104.30,466700,104.30
2013-05-13,109.07,110.15,106.82,108.56,607000,108.56
2013-05-06,98.06,110.44,97.75,109.31,1273700,109.31
2013-04-29,95.50,99.42,94.45,98.26,798300,98.26
2013-04-22,94.28,95.84,92.44,95.49,817200,95.49
2013-04-15,97.38,97.62,91.08,94.29,719300,94.29
2013-04-10,96.37,99.50,96.36,98.07,723300,98.07
