Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,24.38,24.57,24.38,24.50,3189400,24.50
2014-03-03,24.32,24.57,24.04,24.45,2918200,24.45
2014-02-24,23.89,24.59,23.62,24.49,4168400,24.49
2014-02-18,23.93,24.12,23.59,23.92,3832100,23.92
2014-02-10,23.08,24.00,23.01,23.98,3052600,23.98
2014-02-03,23.10,23.24,22.53,23.13,3582200,23.13
2014-01-27,23.41,23.65,23.08,23.24,5281000,23.24
2014-01-21,25.87,25.93,24.79,24.80,6950600,23.31
2014-01-13,25.91,26.14,25.63,25.73,3627800,24.18
2014-01-06,26.42,26.43,25.51,25.94,5695900,24.38
2013-12-30,27.11,27.31,26.23,26.34,2395200,24.75
2013-12-23,26.89,27.20,26.74,27.07,2162300,25.44
2013-12-16,26.36,26.87,25.92,26.82,3004000,25.21
2013-12-09,27.65,27.95,26.20,26.24,3318800,24.66
2013-12-02,28.49,28.54,27.06,27.53,3275500,25.87
2013-11-25,27.69,28.17,27.67,27.93,1653900,26.25
2013-11-18,27.39,27.78,27.17,27.67,2457600,26.00
2013-11-11,26.47,27.45,26.36,27.40,3441200,25.75
2013-11-04,26.08,26.58,26.02,26.58,2728100,24.98
2013-10-28,26.50,26.52,25.81,26.02,3417600,24.45
2013-10-21,27.17,27.29,26.44,26.45,4354100,24.86
2013-10-14,26.63,27.22,26.41,27.14,2735400,25.51
2013-10-07,26.99,27.23,26.23,26.74,3826200,25.13
2013-09-30,27.09,27.44,26.90,27.35,5761900,25.70
2013-09-23,26.84,27.55,26.77,27.32,3914500,25.68
2013-09-16,26.19,27.17,25.98,26.98,2681400,25.36
2013-09-09,25.51,26.52,25.51,25.93,2937900,24.37
2013-09-03,25.31,25.65,25.09,25.49,1577200,23.96
2013-08-26,25.53,25.66,24.86,25.07,2323200,23.56
2013-08-19,25.07,25.54,24.95,25.49,2300500,23.96
2013-08-12,25.55,26.18,25.10,25.14,3494900,23.63
2013-08-05,26.09,26.21,25.56,25.72,3946800,24.17
2013-07-29,25.92,26.47,25.82,26.20,2460000,24.62
2013-07-22,26.28,26.42,25.67,26.00,2643400,24.43
2013-07-15,26.02,26.35,25.64,26.30,2871300,24.72
2013-07-08,26.07,26.54,25.31,25.97,3632400,24.41
2013-07-01,25.48,25.96,25.26,25.94,1614200,24.38
2013-06-24,24.32,25.46,23.99,25.42,4185400,23.89
2013-06-17,24.89,25.50,24.31,24.55,2991400,23.07
2013-06-10,24.83,25.31,24.49,24.70,3112600,23.21
2013-06-03,25.52,25.72,24.19,24.79,3942800,23.30
2013-05-28,26.01,26.16,25.49,25.49,3693700,23.96
2013-05-20,26.18,26.38,25.61,25.81,2693000,24.26
2013-05-13,25.67,26.39,25.53,26.19,2689400,24.61
2013-05-06,25.05,25.78,24.98,25.72,2058100,24.17
2013-04-29,25.22,25.45,24.92,25.05,2675000,23.54
2013-04-22,24.75,25.57,24.67,25.19,2524100,23.67
2013-04-15,25.55,25.57,24.43,24.74,3571200,23.25
2013-04-10,25.60,25.84,24.87,25.59,3771500,24.05
