Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,30.49,30.73,30.44,30.66,3722500,30.66
2014-03-03,29.53,30.74,29.39,30.57,5124200,30.57
2014-02-24,30.91,31.06,29.53,29.71,5953800,29.71
2014-02-18,31.27,31.30,30.66,30.76,5237900,30.76
2014-02-10,30.36,31.37,30.32,31.30,5902800,31.30
2014-02-03,29.62,30.69,28.68,30.46,8165300,30.34
2014-01-27,29.47,30.60,28.30,29.76,10010700,29.64
2014-01-21,29.25,30.25,28.98,29.39,7850300,29.28
2014-01-13,29.09,29.66,28.63,29.00,6490700,28.89
2014-01-06,29.00,29.67,28.61,28.91,6664700,28.80
2013-12-30,29.27,29.75,28.68,28.97,5864700,28.86
2013-12-23,28.94,29.39,28.73,29.29,4997800,29.18
2013-12-16,27.80,28.93,27.80,28.57,10083500,28.46
2013-12-09,27.54,28.90,27.52,28.01,11096800,27.90
2013-12-02,26.69,28.00,26.63,27.53,10002800,27.42
2013-11-25,26.41,26.93,26.16,26.69,5809000,26.59
2013-11-18,27.05,27.08,25.96,26.35,7658600,26.25
2013-11-11,26.53,27.66,26.17,27.05,9622500,26.83
2013-11-04,26.78,26.96,26.12,26.50,7620500,26.29
2013-10-28,26.35,27.92,26.33,26.77,9886500,26.55
2013-10-21,27.17,27.50,24.60,26.41,15709900,26.20
2013-10-14,26.16,27.20,26.13,27.16,7157300,26.94
2013-10-07,26.43,26.72,25.91,26.51,5422700,26.30
2013-09-30,25.62,26.71,25.52,26.64,8930300,26.42
2013-09-23,27.84,27.88,25.61,25.84,7759900,25.63
2013-09-16,26.41,28.23,26.35,27.34,11130200,27.12
2013-09-09,26.62,27.24,26.00,26.10,8521500,25.89
2013-09-03,25.60,27.02,24.94,26.49,14049700,26.28
2013-08-26,25.19,25.55,24.60,25.26,7217700,25.06
2013-08-19,25.88,25.89,25.07,25.24,6533500,24.93
2013-08-12,25.67,26.77,23.25,25.91,11669300,25.59
2013-08-05,27.00,27.08,26.03,26.06,10090800,25.73
2013-07-29,27.35,27.98,26.78,26.89,15907900,26.55
2013-07-22,33.26,33.41,26.58,27.30,29346100,26.96
2013-07-15,34.49,34.96,32.85,33.69,10498100,33.27
2013-07-08,33.90,34.95,33.18,34.83,5335700,34.40
2013-07-01,33.44,33.78,33.00,33.77,4098500,33.35
2013-06-24,33.10,34.25,32.70,33.79,6592700,33.37
2013-06-17,34.07,34.86,33.13,33.24,7635600,32.83
2013-06-10,35.40,35.40,33.14,33.79,9056300,33.37
2013-06-03,36.02,36.20,34.56,35.39,7013100,34.95
2013-05-28,36.25,36.75,35.62,35.91,7229300,35.46
2013-05-20,37.32,37.85,36.17,36.59,5264800,36.02
2013-05-13,36.41,37.56,36.08,37.55,6362400,36.97
2013-05-06,36.00,36.74,35.90,36.62,4675100,36.05
2013-04-29,34.71,36.35,34.63,36.06,6953600,35.50
2013-04-22,32.05,35.67,31.61,34.54,10062300,34.01
2013-04-15,33.85,34.02,31.25,31.89,7668000,31.40
2013-04-10,33.81,34.47,33.30,33.87,6380000,33.35
