Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,90.61,91.17,90.00,91.03,2326300,91.03
2014-03-03,87.28,91.94,87.04,90.90,3034300,90.90
2014-02-24,85.70,89.19,85.40,88.08,3505400,88.08
2014-02-18,84.99,86.79,83.47,85.65,3705100,85.65
2014-02-10,80.71,84.52,80.38,84.47,3315500,84.47
2014-02-03,78.99,81.11,76.32,80.83,3900300,80.83
2014-01-27,75.92,80.82,74.37,78.76,4685700,78.76
2014-01-21,82.13,82.61,75.86,75.92,6092600,75.92
2014-01-13,80.42,82.97,79.63,81.40,2881400,81.40
2014-01-06,79.06,81.62,77.71,80.35,3023800,80.35
2013-12-30,79.59,80.33,77.90,78.71,2843800,78.71
2013-12-23,79.00,79.67,77.63,79.43,1630200,79.43
2013-12-16,77.19,78.95,76.60,78.60,3630500,78.60
2013-12-09,77.00,78.26,75.29,76.19,2605800,76.19
2013-12-02,77.44,78.01,74.51,76.55,3376300,76.55
2013-11-25,78.42,78.52,76.26,77.18,3937400,77.18
2013-11-18,78.64,79.34,77.02,79.29,2533600,79.29
2013-11-11,75.40,78.87,75.09,78.57,3005300,77.96
2013-11-04,74.16,76.01,73.69,75.39,3526000,74.81
2013-10-28,77.19,77.32,72.53,73.93,4507500,73.36
2013-10-21,78.13,79.34,75.64,77.10,2675000,76.50
2013-10-14,75.56,78.50,75.09,77.91,2419700,77.31
2013-10-07,74.75,76.13,72.27,75.97,2478700,75.38
2013-09-30,72.37,75.47,72.10,75.39,2451600,74.81
2013-09-23,72.60,74.23,71.78,73.39,2758700,72.82
2013-09-16,71.96,75.67,71.16,73.03,5877400,72.46
2013-09-09,70.35,71.67,70.08,71.00,3807000,69.97
2013-09-03,71.19,71.89,68.94,70.32,4665700,69.30
2013-08-26,70.30,71.04,68.32,70.15,2770400,69.13
2013-08-19,68.51,70.19,67.52,70.12,2291300,69.10
2013-08-12,68.42,70.53,67.74,68.87,3448200,67.87
2013-08-05,68.94,69.71,67.96,68.70,3419700,67.70
2013-07-29,67.40,69.47,66.35,68.95,4456600,67.95
2013-07-22,68.61,70.27,66.50,67.40,2393300,66.42
2013-07-15,70.44,71.33,67.20,68.41,3871300,67.42
2013-07-08,68.33,70.64,67.77,70.00,3018200,68.98
2013-07-01,67.00,68.38,64.74,67.68,4410900,66.70
2013-06-24,65.06,68.02,63.89,66.26,5250200,65.30
2013-06-17,68.10,69.45,65.23,66.75,3689600,65.78
2013-06-10,65.06,68.11,63.67,67.42,4134100,66.44
2013-06-03,66.82,68.46,64.62,64.87,4852600,63.93
2013-05-28,66.74,68.09,65.72,66.65,4277400,65.68
2013-05-20,67.27,67.45,62.71,65.72,3533900,64.28
2013-05-13,62.50,67.32,61.34,67.32,5298700,65.84
2013-05-06,62.59,63.80,60.41,61.55,4428900,60.20
2013-04-29,60.39,61.64,57.33,60.95,4441100,59.61
2013-04-22,58.15,63.27,57.37,60.14,3724500,58.82
2013-04-15,58.64,58.71,55.02,57.86,5612500,56.59
2013-04-10,60.42,62.13,58.67,59.46,3297600,58.16
